retweetContacts,commentContacts,quoteContacts,otherContacts,sumContacts
1,0,0,0,1
1,0,0,0,1
68,8,0,0,76
1,0,0,0,1
379,9,6,0,394
2,0,0,0,2
229,17,3,0,249
2,7,0,0,9
367,62,2,0,431
1,0,0,0,1
49,0,0,0,49
6,0,0,0,6
4,0,0,0,4
4,0,0,0,4
1,0,0,0,1
142,1,0,0,143
1,0,0,0,1
1,0,0,0,1
368,51,2,0,421
5,1,1,0,7
3,0,0,0,3
1,0,0,0,1
1,0,0,0,1
5,0,0,0,5
580,0,0,0,580
1,0,0,0,1
15,0,0,0,15
5,0,0,0,5
277,11,0,0,288
1,0,0,0,1
476,1,1,0,478
2,0,0,0,2
234,7,20,0,261
15,0,0,0,15
108,0,0,0,108
1,0,0,0,1
1259,9,0,0,1268
3,0,0,0,3
5,0,0,0,5
2,0,0,0,2
291,8,2,0,301
3,0,0,0,3
52,3,0,0,55
2,0,0,0,2
152,0,0,0,152
1,0,0,0,1
3,1,0,0,4
171,4,3,0,178
3,0,0,0,3
3,0,0,0,3
37,4,9,0,50
4,46,0,0,50
1,0,0,0,1
1,0,0,0,1
7,6,0,0,13
1,0,0,0,1
171,0,0,0,171
1,0,0,0,1
1,0,0,0,1
7,0,0,0,7
73,3,1,0,77
1,0,0,0,1
186,5,0,0,191
2,0,0,0,2
6,0,0,0,6
9,0,0,0,9
3,0,0,0,3
13,0,4,0,17
2,0,0,0,2
65,6,0,0,71
1,0,0,0,1
49,2,0,0,51
529,9,2,0,540
4,14,0,0,18
86,16,0,0,102
2,0,0,0,2
1,0,0,0,1
2,4,0,0,6
21,0,0,0,21
1,0,0,0,1
83,0,0,0,83
1,0,0,0,1
506,1,0,0,507
1,0,0,0,1
2460,90,24,0,2574
2,0,0,0,2
1,0,0,0,1
79,2,0,0,81
1,0,0,0,1
191,1,1,0,193
1,0,0,0,1
4,0,0,0,4
1,0,0,0,1
3,0,0,0,3
94,0,0,0,94
1,0,0,0,1
2,0,0,0,2
42,7,0,0,49
1,0,0,0,1
4,0,0,0,4
2,0,0,0,2
394,1,0,0,395
1,0,0,0,1
7,0,0,0,7
2,12,0,0,14
2,0,0,0,2
2,0,0,0,2
887,5,1,0,893
1,0,0,0,1
1954,67,16,0,2037
3,0,0,0,3
1,0,0,0,1
1,0,0,0,1
968,19,4,0,991
1,0,0,0,1
579,1,0,0,580
10,0,0,0,10
26,0,0,0,26
27,0,0,0,27
1,0,0,0,1
3,4,0,0,7
7,0,0,0,7
990,61,22,0,1073
4,4,0,0,8
253,1,1,0,255
2,0,0,0,2
1,0,0,0,1
4,0,0,0,4
1,0,0,0,1
1,0,0,0,1
3,0,0,0,3
3105,63,3,0,3171
11,2,1,0,14
47,0,0,0,47
2,0,0,0,2
1,0,0,0,1
79,5,2,0,86
2,0,0,0,2
1,0,0,0,1
74,4,0,0,78
1,0,0,0,1
2,0,0,0,2
6,0,0,0,6
18,2,0,0,20
7,0,0,0,7
106,2,1,0,109
3,0,0,0,3
1863,13,2,0,1878
1,8,0,0,9
14,0,0,0,14
1,0,0,0,1
5,0,0,0,5
1,0,0,0,1
11,0,0,0,11
3,0,0,0,3
20,2,0,0,22
19,8,0,0,27
272,0,0,0,272
1,0,0,0,1
3,5,2,0,10
41,0,0,0,41
1,0,0,0,1
271,5,0,0,276
1,0,0,0,1
1,0,0,0,1
183,0,0,0,183
2,2,0,0,4
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
299,12,10,0,321
13,0,0,0,13
10,0,0,0,10
1,0,0,0,1
5,0,0,0,5
