Slice i -> i+1      Cluster ID i,i+1      Cluster size i,i+1                             Intersects                           Intersect ids
1->2                     100,101               10472,10481            0.9182582123758595,0.010122230710466005,0.007734912146676853            101,59,543
2->3                     101,95               10481,10534            0.9189962789810132,0.008968609865470852,0.0060108768247304645            95,55,837
3->4                     95,96               10534,10546            0.9181697360926524,0.0074995253464970575,0.0064552876400227836            96,56,550
4->5                     96,90               10546,10591            0.9208230608761616,0.007585814526834819,0.005310070168784373            90,57,825
5->6                     90,100               10591,10585            0.9172882636200548,0.009158719667642338,0.006798224907940705            100,59,117
6->7                     100,98               10585,10479            0.9146905999055267,0.008408124704770903,0.0068020784128483705            98,58,115
7->8                     98,101               10479,10542            0.9235614085313484,0.006680026720106881,0.004485160797786048            101,59,118
8->9                     101,96               10542,10546            0.9188009865300701,0.0073041168658698535,0.0071143995446784295            96,56,818
9->10                     96,101               10546,10603            0.9220557557367722,0.007301346482078513,0.005310070168784373            101,58,797
10->11                     101,98               10603,10621            0.9212487031972083,0.007922286145430538,0.006979156842403094            98,58,113
11->12                     98,91               10621,10603            0.9186517277092553,0.006402410319178985,0.006308257226249882            91,776,57
12->13                     91,98               10603,10662            0.926530227294162,0.006224653399981138,0.006130340469678393            98,117,57
13->14                     98,98               10662,10614            0.9193397111236166,0.0071281185518664416,0.006283999249671731            98,116,58
14->15                     98,94               10614,10564            0.9205765969474279,0.007819860561522517,0.006218202374222725            94,752,54
15->16                     94,96               10564,10579            0.9237978038621735,0.006531616811813707,0.006152972358954941            96,57,495
16->17                     96,96               10579,10608            0.9226770016069572,0.006616882503072124,0.006144248038566972            96,112,58
17->18                     96,90               10608,10550            0.9171380090497737,0.00773001508295626,0.006598793363499246            90,38,332
18->19                     90,37               10550,10497            0.9206635071090047,0.0071090047393364926,0.005308056872037914            37,177,36
19->20                     37,37               10497,10516            0.9271220348671049,0.00685910260074307,0.006096980089549395            37,36,170
20->21                     37,39               10516,10623            0.9329593001141119,0.007607455306200076,0.00599087105363256            39,328,38
21->22                     39,90               10623,10608            0.9255389249741127,0.0068718817659794785,0.005930528099406947            90,333,37
22->23                     90,91               10608,10533            0.9238310708898945,0.007164404223227752,0.005656108597285068            91,174,37
23->24                     91,234               10533,10532            0.9286053356118864,0.006550840216462546,0.005696382796923953            234,235,119
24->25                     234,528               10532,7925            0.6850550702620585,0.005127231295100646,0.002278769464489176            528,119,689
25->26                     528,116               7925,3946            0.009211356466876972,0.004668769716088328,0.004416403785488959            116,568,913
26->27                     116,116               3946,3962            0.8935631018753167,0.003801317790167258,0.0035478966041561076            116,53,46
27->28                     116,112               3962,3880            0.8803634528016153,0.005047955577990914,0.0035335689045936395            112,19,183
28->29                     112,109               3880,3827            0.8783505154639175,0.0033505154639175256,0.003092783505154639            109,51,763
29->30                     109,95               3827,3718            0.8669976482884766,0.003135615364515286,0.0028743140841390124            95,40,405
30->31                     95,94               3718,2703            0.6597633136094675,0.009682625067240451,0.005110274341043572            94,380,347
31->32                     94,93               2703,2738            0.9100998890122086,0.004809470958194599,0.003329633740288568            93,88,163
32->33                     93,94               2738,2728            0.8977355734112491,0.002556610664718773,0.002556610664718773            94,408,514
33->34                     94,90               2728,2704            0.9035923753665689,0.005498533724340176,0.005498533724340176            90,75,3029
34->35                     90,92               2704,2683            0.8894230769230769,0.0029585798816568047,0.0025887573964497044            92,463,86
35->36                     92,89               2683,2672            0.9105478941483414,0.004472605292582929,0.002609019754006709            89,84,376
36->37                     89,290               2672,2686            0.9045658682634731,0.005239520958083832,0.002619760479041916            290,345,138
37->38                     290,274               2686,2551            0.8708116157855548,0.013775130305286671,0.0033507073715562173            274,312,72
38->39                     274,81               2551,2564            0.9168953351626813,0.0027440219521756176,0.0027440219521756176            81,129,219
39->40                     81,209               2564,2610            0.9235569422776911,0.0039001560062402497,0.0039001560062402497            209,74,129
40->41                     209,193               2610,2554            0.9019157088122606,0.004597701149425287,0.0038314176245210726            193,3967,72
41->42                     193,184               2554,2529            0.9001566170712608,0.003523884103367267,0.00274079874706343            184,67,215
42->43                     184,167               2529,2507            0.8983788058521155,0.004349545274812179,0.0035587188612099642            167,106,195
43->44                     167,59               2507,2390            0.8663741523733546,0.0035899481451934583,0.0023932987634623054            59,45,157
44->45                     59,308               2390,1685            0.6393305439330544,0.0029288702928870294,0.0029288702928870294            308,44,262
45->46                     308,310               1685,1539            0.8451038575667655,0.0035608308605341245,0.0035608308605341245            310,62,118
46->47                     310,311               1539,1422            0.8492527615334633,0.005847953216374269,0.005198180636777128            311,81,21
47->48                     311,302               1422,1402            0.9184247538677919,0.007735583684950774,0.004922644163150493            302,116,288
48->49                     302,296               1402,1403            0.9315263908701854,0.0042796005706134095,0.003566333808844508            296,65,255
49->50                     296,269               1403,1476            0.9287241625089094,0.003563791874554526,0.003563791874554526            269,90,2673
50->51                     269,426               1476,54            0.023035230352303523,0.007452574525745257,0.006775067750677507            426,83,97
51->52                     426,1065               54,55            0.7037037037037037,0.037037037037037035,0.037037037037037035            1065,189,227
52->53                     1065,1349               55,54            0.6363636363636364,0.09090909090909091,0.05454545454545454            1349,2060,2901
53->54                     1349,1358               54,42            0.6296296296296297,0.05555555555555555,0.05555555555555555            1358,335,706
54->55                     1358,1048               42,46            0.7619047619047619,0.07142857142857142,0.07142857142857142            1048,89,728
55->56                     1048,1503               46,43            0.717391304347826,0.10869565217391304,0.043478260869565216            1503,2875,185
56->57                     1503,356               43,55            0.6744186046511628,0.11627906976744186,0.046511627906976744            356,2250,107
