Slice number       edges/nodes
1          0.9185144124168514
2          0.9244306418219461
3          0.9355885078776645
4          0.9383354894351014
5          0.9378930817610063
6          0.9364358683314415
7          0.9367897727272727
8          0.9383350462487153
9          0.9378986236992279
10          0.9400906735751295
11          0.9404504782474545
12          0.9425865640722108
13          0.9402189166432782
14          0.9380838003736323
15          0.9385446130110568
16          0.9402911423636813
17          0.9484603625245687
18          0.9563166529942576
19          0.9592079207920792
20          0.9633770239013107
21          0.9716285924834193
22          0.9761152089919213
23          0.9770531400966184
24          0.981361291396239
25          0.986950986632718
26          0.9919101123595505
27          0.9985781316650079
28          1.0031194900311948
29          1.0131710988459608
30          1.0272705714963244
31          1.0400853357287223
32          1.040316988608222
33          1.0454710144927537
34          1.0516117969821674
35          1.0555464121132323
36          1.0597300966222152
37          1.065518853225304
38          1.0676918438112468
39          1.0685128205128205
40          1.0702008561080014
41          1.0706195457077428
42          1.071335234022333
43          1.0728476821192052
44          1.0825402034788316
45          1.0865466101694916
46          1.0892072154009398
47          1.0902571090472264
48          1.0950743365291093
49          1.099366101357406
50          1.1026614766290073
51          1.1070349329142994
52          1.112282566964945
53          1.1160816047412812
54          1.1192139253838904
55          1.1283257581798367
56          1.1341543763620698
57          1.138975381920794
58          1.1389978728432995
59          1.1423227807681782
60          1.1466252088753517
61          1.147723198278953
62          1.1563757638992398
63          1.1647181266261926
64          1.166386274209919
