Slice        Partition num         Num nodes         Num nodes/Total num nodes         Num nodes/(Total num nodes - Num nodes)
 1                 0                  236                    0.130820                    0.150510
 2                 0                  252                    0.130435                    0.150000
 3                 0                  260                    0.120482                    0.136986
 4                 0                  261                    0.112549                    0.126822
 5                 0                  261                    0.102594                    0.114323
 6                 0                  259                    0.097995                    0.108641
 7                 0                  260                    0.092330                    0.101721
 8                 0                  259                    0.088729                    0.097368
 9                 0                  259                    0.086942                    0.095221
10                 0                  259                    0.083873                    0.091552
11                 0                  259                    0.079914                    0.086854
12                 0                  258                    0.076354                    0.082666
13                 0                  259                    0.072692                    0.078390
14                 0                  259                    0.069122                    0.074255
15                 0                  259                    0.066598                    0.071350
16                 0                  265                    0.065384                    0.069958
17                 0                  336                    0.073378                    0.079189
18                 0                  448                    0.091879                    0.101174
19                 0                  465                    0.092079                    0.101418
20                 0                  468                    0.090208                    0.099153
21                 0                  469                    0.086404                    0.094576
22                 0                  469                    0.082367                    0.089761
23                 0                  469                    0.080918                    0.088042
24                 0                  467                    0.077717                    0.084266
25                 0                  468                    0.074475                    0.080468
26                 0                  467                    0.069963                    0.075226
27                 0                  473                    0.067254                    0.072104
28                 0                  469                    0.063610                    0.067932
29                 0                  469                    0.058831                    0.062508
30                 0                  467                    0.055371                    0.058617
31                 0                  467                    0.052437                    0.055338
32                 0                  641                    0.063497                    0.067802
33                 0                  896                    0.081159                    0.088328
34                 0                  965                    0.082733                    0.090195
35                 0                  965                    0.079411                    0.086261
36                 0                  965                    0.077058                    0.083492
37                 0                  965                    0.075179                    0.081291
38                 0                  967                    0.072893                    0.078624
39                 0                  968                    0.066188                    0.070879
40                 0                 1042                    0.068620                    0.073676
41                 0                 1048                    0.064864                    0.069363
42                 0                 1050                    0.062366                    0.066515
43                 0                 1052                    0.060582                    0.064488
44                 0                 1057                    0.057816                    0.061364
45                 0                 1068                    0.056568                    0.059960
46                 0                 2219                    0.084091                    0.091812
47                 0                 2424                    0.086922                    0.095197
48                 0                 2422                    0.084132                    0.091861
49                 0                 2419                    0.080283                    0.087291
50                 0                 2436                    0.077091                    0.083531
51                 0                 2442                    0.073794                    0.079674
52                 0                 2471                    0.072975                    0.078719
53                 0                 2759                    0.078613                    0.085320
54                 0                 2576                    0.071401                    0.076891
55                 0                 3769                    0.100178                    0.111331
56                 0                 3769                    0.095510                    0.105595
57                 0                 3770                    0.091710                    0.100970
58                 0                 3778                    0.089293                    0.098048
59                 0                 3776                    0.086124                    0.094240
60                 0                 3752                    0.079362                    0.086203
61                 0                 3751                    0.074718                    0.080752
62                 0                 3883                    0.072347                    0.077989
63                 0                 4177                    0.072454                    0.078114
64                 0                 5355                    0.074455                    0.080444
