Slice        Partition num         Num nodes         Num nodes/Total num nodes         Num nodes/(Total num nodes - Num nodes)
 1                 7                  214                    0.118625                    0.134591
 2                 7                  230                    0.119048                    0.135135
 3                 7                  261                    0.120945                    0.137586
 4                 6                  262                    0.112980                    0.127370
 5                 6                  259                    0.101808                    0.113348
 6                 6                  260                    0.098373                    0.109106
 7                 6                  238                    0.084517                    0.092320
 8                 6                  260                    0.089072                    0.097781
 9                 6                  237                    0.079557                    0.086433
10                 6                  260                    0.084197                    0.091938
11                 6                  244                    0.075285                    0.081415
12                 7                  237                    0.070139                    0.075430
13                 7                  261                    0.073253                    0.079043
14                 7                  261                    0.069656                    0.074871
15                 8                  268                    0.068912                    0.074013
16                 9                  267                    0.065877                    0.070523
17                 8                  336                    0.073378                    0.079189
18                10                  448                    0.091879                    0.101174
19                10                  465                    0.092079                    0.101418
20                10                  468                    0.090208                    0.099153
21                17                  469                    0.086404                    0.094576
22                16                  469                    0.082367                    0.089761
23                18                  469                    0.080918                    0.088042
24                20                  467                    0.077717                    0.084266
25                16                  468                    0.074475                    0.080468
26                18                  467                    0.069963                    0.075226
27                19                  473                    0.067254                    0.072104
28                23                  462                    0.062661                    0.066850
29                19                  469                    0.058831                    0.062508
30                21                  467                    0.055371                    0.058617
31                31                  467                    0.052437                    0.055338
32                14                  641                    0.063497                    0.067802
33                13                  896                    0.081159                    0.088328
34                15                  965                    0.082733                    0.090195
35                 3                  965                    0.079411                    0.086261
36                 3                  965                    0.077058                    0.083492
37                10                  965                    0.075179                    0.081291
38                10                  967                    0.072893                    0.078624
39                 9                  968                    0.066188                    0.070879
40                43                 1042                    0.068620                    0.073676
41                47                 1048                    0.064864                    0.069363
42                51                 1049                    0.062307                    0.066447
43                51                 1052                    0.060582                    0.064488
44                50                 1056                    0.057762                    0.061303
45                 2                 1231                    0.065201                    0.069749
46                 7                 2328                    0.088222                    0.096758
47                 7                 2356                    0.084484                    0.092280
48                 9                 2356                    0.081840                    0.089134
49                 7                 2365                    0.078491                    0.085176
50                 1                 2442                    0.077281                    0.083753
51                18                 2382                    0.071981                    0.077564
52                 1                 2614                    0.077198                    0.083656
53                 1                 2642                    0.075279                    0.081408
54                 8                 3936                    0.109097                    0.122457
55                 8                 3950                    0.104989                    0.117305
56                 9                 3913                    0.099159                    0.110073
57                44                 3918                    0.095310                    0.105351
58                 3                 4567                    0.107941                    0.121003
59                38                 3929                    0.089613                    0.098434
60                51                 3890                    0.082281                    0.089658
61                 3                 3918                    0.078045                    0.084651
62                47                 3908                    0.072813                    0.078531
63                 2                 4191                    0.072697                    0.078397
64                 2                 6358                    0.088400                    0.096972
