id,degree,coreness,pageRank,clustering,component
365251227,915,2,0.03112865984030261,1.0761559708720451E-5,0
359535344,1,1,4.03058871483835E-5,0.0,0
1101968098293399561,50,3,0.0014184836974442318,0.0,0
764261361044037632,1,1,3.544850067695479E-5,0.0,0
20548283,1063,2,0.03617425509388643,0.0,0
257559765,1,1,4.031940175969507E-5,0.0,0
592730371,79,2,0.00268702823231206,0.0,0
883634756,1,1,4.029452634497637E-5,0.0,0
18708396,271,5,0.007805321784038251,5.056717233839005E-4,0
2670435529,1,1,3.581268015848902E-5,0.0,0
1019082963349368832,92,4,0.0024232689632240883,0.026617826617826617,0
1196432627353432067,1,1,3.371239434841111E-5,0.0,0
1162049604243738624,1,1,3.5379860744975256E-5,0.0,0
1580606461,6,2,1.700312675266994E-4,0.03333333333333333,0
24384295,17,2,5.624558453647235E-4,0.022058823529411766,0
4876869693,1,1,3.944969773661132E-5,0.0,0
765950436662775810,1,1,4.03058871483835E-5,0.0,0
1316331686,27,1,9.513707898430263E-4,0.0,0
66126175,1,1,4.133738939848691E-5,0.0,0
1115874631,324,3,0.0102504436436125,7.644383289378129E-5,0
1052392478,1,1,3.825435023808754E-5,0.0,0
87775422,27,3,8.160549702436966E-4,0.004273504273504274,0
129729820,1,1,3.704394159642303E-5,0.0,0
1252313960,9,2,2.6499558795593E-4,0.0,0
1196111638610530306,1,1,3.635175351522094E-5,0.0,0
477864155,214,5,0.0052654550781682545,0.001601509367732877,0
1220680430631841792,2,2,5.3483008690273926E-5,0.5,0
16881384,19,3,4.7500257613189423E-4,0.11764705882352941,0
634168631,10,3,2.5777459731096415E-4,0.0,0
1222766494280339456,2,1,6.153484469324073E-5,0.5,0
4592846553,3,1,9.988119382702687E-5,1.5,0
80862758,29,2,0.001003503315228924,0.0,0
1056390234,1,1,4.0806996394346136E-5,0.0,0
995685599611969538,1,1,4.03058871483835E-5,0.0,0
858354369141583872,36,2,0.0011432215622242071,7.936507936507937E-4,0
1008495573668847616,1,1,3.834798618058155E-5,0.0,0
1225779630,493,4,0.01582132270205198,2.06137964016557E-5,0
1199772084102033410,4,3,1.047499860960649E-4,0.5833333333333334,0
927290672553500672,32,3,8.78608880626525E-4,0.008064516129032258,0
895590626867068929,51,4,0.001317556605756893,0.005098039215686275,0
2241288482,110,5,0.0027004492545566966,0.024464831804281346,0
1121412745386233857,60,2,0.001896966698689978,0.0,0
824329028438020097,1,1,3.8223336028509356E-5,0.0,0
1637252214,16,3,4.5961766113054457E-4,0.0,0
1139978347549581312,1,1,3.574688662238034E-5,0.0,0
1217568931680006144,4,2,1.1818459525998114E-4,0.0,0
