id,degree,coreness,pageRank,clustering,component
17748144,7,2,3.6966815447594275E-4,0.0,0
4885405884,1,1,6.315681521549209E-5,0.0,0
1188457338774212608,13,2,6.484192960180531E-4,0.0,0
2404568288,1,1,6.067295053249454E-5,0.0,0
365251227,888,2,0.04903621812794905,1.1426307931381212E-5,0
359535344,1,1,6.528248972856773E-5,0.0,0
1086607208379502592,47,1,0.002647811436065479,0.0,0
870468896255385601,1,1,6.623026677147517E-5,0.0,0
1101968098293399561,49,2,0.0023536503119034164,0.0,0
764261361044037632,1,1,5.9115627797645676E-5,0.0,0
540194877,36,4,0.0014010266219041478,0.07394957983193277,0
1215259568231665664,7,4,2.708927616586604E-4,0.047619047619047616,0
928775251168657408,387,4,0.01712572042998302,6.292592146309461E-4,0
3033617906,16,3,6.371951531594814E-4,0.1380952380952381,0
477864155,204,4,0.008673844513037812,0.001352265043948614,0
20247015,81,4,0.003577328338640956,7.716049382716049E-4,0
18205531,22,4,9.503996758839277E-4,0.0,0
403647191,16,3,7.102259020508613E-4,0.0,0
592730371,79,1,0.00439901985644613,0.0,0
883634756,1,1,6.568081973801619E-5,0.0,0
18708396,271,4,0.013007263477899664,3.2800328003280033E-4,0
2670435529,1,1,5.9077346573651387E-5,0.0,0
1137797617,50,3,0.002225590833630519,4.0816326530612246E-4,0
29474658,1,1,5.6108106012781994E-5,0.0,0
1115874631,208,3,0.01073930136524516,1.1612783351913786E-4,0
124667140,1,1,6.220210255023515E-5,0.0,0
1019082963349368832,91,4,0.004004161315452487,0.026466916354556804,0
1196432627353432067,1,1,5.566836686204715E-5,0.0,0
101893603,3,2,1.342440264349604E-4,0.16666666666666666,0
474339811,1,1,5.6304216396906885E-5,0.0,0
1162049604243738624,1,1,5.836679480092286E-5,0.0,0
1580606461,6,2,2.833819102240555E-4,0.03333333333333333,0
24384295,17,2,9.102694843466903E-4,0.022058823529411766,0
4876869693,1,1,6.378514488847937E-5,0.0,0
859357874056822784,31,2,0.0015808951599195302,0.005376344086021506,0
1030028049679572992,1,1,6.16273129785222E-5,0.0,0
765950436662775810,1,1,6.528248972856773E-5,0.0,0
1316331686,27,1,0.0015386529266477155,0.0,0
66126175,1,1,6.67821967398134E-5,0.0,0
102855741,12,1,6.90900004618383E-4,0.0,0
4126323552,1,1,6.726447875758547E-5,0.0,0
449974837,24,3,0.001119489848634303,0.0,0
1544657348,2,1,1.1490111947052007E-4,0.0,0
53335311,1,1,6.70586416826313E-5,0.0,0
1052392478,1,1,6.220210255023515E-5,0.0,0
1424134742,1,1,6.528248972856773E-5,0.0,0
87775422,27,3,0.0013483350446606723,0.004273504273504274,0
129729820,1,1,6.074757619407094E-5,0.0,0
1252313960,9,2,4.6048586137284247E-4,0.0,0
1196111638610530306,1,1,6.175649751808776E-5,0.0,0
65336280,8,1,4.3466795940341806E-4,0.30952380952380953,0
726133104251928576,1,1,6.445096255332458E-5,0.0,0
3026416094,5,2,2.4320620606024443E-4,0.75,0
353996180,1,1,5.960298529130001E-5,0.0,0
358926038,2,2,9.99793863627988E-5,1.5,0
966612436978581504,15,2,7.129813564386661E-4,0.014285714285714285,0
43077446,6,1,3.4783184607975747E-4,0.0,0
50282586,1,1,6.75338314540658E-5,0.0,0
1220680430631841792,1,1,5.441394485608261E-5,0.0,0
634168631,10,2,4.5555874092635435E-4,0.0,0
1222766494280339456,1,1,5.700174107329884E-5,0.0,0
1044491097660174336,65,1,0.003640850558527588,0.0,0
989895714825269248,1,1,6.595494975866551E-5,0.0,0
59088968,14,4,5.556226525837906E-4,0.1987179487179487,0
1113009401797971968,1,1,5.1994308232407063E-5,0.0,0
927290672553500672,32,2,0.001472802366460885,0.006048387096774193,0
1199772084102033410,2,2,1.024070458813536E-4,0.0,0
1225779630,491,3,0.02597998685626733,1.246934619061474E-5,0
1121412745386233857,60,2,0.0031065085774792485,0.0,0
824329028438020097,1,1,6.231268294215141E-5,0.0,0
4374719908,210,2,0.01096476323381442,0.00979941111520059,0
1190944388517642240,1,1,6.267523892370579E-5,0.0,0
703738292290887682,17,4,7.274572589036172E-4,0.014705882352941176,0
772926434,1,1,5.463653697043368E-5,0.0,0
36028398,22,3,9.372020333907913E-4,0.12380952380952381,0
952016470061404160,1,1,5.447628541438715E-5,0.0,0
791114183903358977,2,2,9.01057795129978E-5,1.5,0
1889021912,2,2,9.527196346408417E-5,0.5,0
1187855556079341568,5,3,2.054209118998282E-4,0.65,0
3333164233,1,1,5.447628541438715E-5,0.0,0
822615255901683713,1,1,5.447628541438715E-5,0.0,0
4062490634,1,1,5.447628541438715E-5,0.0,0
1005583452173987841,9,3,3.634133769222757E-4,0.5,0
2165426407,1,1,5.447628541438715E-5,0.0,0
928395502164393984,1,1,5.447628541438715E-5,0.0,0
871385613575925760,2,2,9.527196346408417E-5,0.5,0
1197241760805720065,2,2,9.527196346408417E-5,0.5,0
916888176265895937,2,2,9.903014901353391E-5,0.5,0
2916713439,2,2,9.527196346408417E-5,0.5,0
1074149483804585984,1,1,5.447628541438715E-5,0.0,0
1014566528,1,1,5.447628541438715E-5,0.0,0
130922707,2,2,9.527196346408417E-5,0.5,0
1077371659529740288,4,3,1.67845148169838E-4,0.6666666666666666,0
1211639926812364801,5,2,2.2235770234301945E-4,0.6666666666666666,0
1168909450826190849,1,1,5.9077346573651387E-5,0.0,0
