N/100    Si    Sim1
43        1      2
46        2      3
47        3      4
46        4      5
44        5      6
47        6      7
46        7      8
43        8      9
49        9      10
52        10      11
44        11      12
47        12      13
47        13      14
45        14      15
47        15      16
43        16      17
47        17      18
45        18      19
47        19      20
51        20      21
50        21      22
47        22      23
45        23      24
50        24      25
48        25      26
47        26      27
51        27      28
50        28      29
51        29      30
48        30      31
46        31      32
54        32      33
46        33      34
49        34      35
46        35      36
49        36      37
49        37      38
52        38      39
56        39      40
44        40      41
50        41      42
43        42      43
53        43      44
44        44      45
54        45      46
51        46      47
43        47      48
60        48      49
53        49      50
42        50      51
44        51      52
44        52      53
56        53      54
58        54      55
50        55      56
53        56      57
49        57      58
44        58      59
37        59      60
38        60      61
34        61      62
47        62      63
46        63      64
49        64      65
56        65      66
55        66      67
43        67      68
58        68      69
55        69      70
56        70      71
62        71      72
58        72      73
50        73      74
53        74      75
55        75      76
58        76      77
57        77      78
44        78      79
45        79      80
53        80      81
52        81      82
60        82      83
51        83      84
