Slice num,Cluster idx,Cluster size
1,94,10497
2,93,10422
3,92,10543
4,99,10554
5,96,10461
6,100,10554
7,94,10463
8,99,10553
9,103,10600
10,67,10531
11,100,10467
12,93,10696
13,87,10559
14,91,10666
15,102,10481
16,53,10541
17,84,10613
18,95,10528
19,97,10663
20,92,10555
21,94,10642
22,95,10588
23,96,10556
24,90,10534
25,38,10639
26,95,10594
27,90,10556
28,40,10610
29,40,10598
30,237,10557
31,803,7967
32,201,4523
33,199,4512
34,194,4526
35,196,4509
36,193,4554
37,192,4500
38,192,4478
39,188,4482
40,184,4500
41,183,4478
42,550,4478
43,0,4450
44,0,4453
45,0,4461
46,0,4441
47,0,4465
48,0,4451
49,0,4436
50,0,4444
51,40,4442
52,0,4430
53,0,4425
54,0,4428
55,0,4422
56,0,4440
57,0,4430
58,38,4423
59,33,4396
60,53,4382
61,85,4358
62,107,2992
63,52,2463
64,51,2440
65,50,2445
66,49,2441
67,65,2430
68,64,2455
69,63,2444
70,62,2446
71,65,2439
72,63,2454
73,62,2462
74,63,2463
75,61,2437
76,62,2463
77,64,2444
78,61,2452
79,56,2458
80,51,2457
81,47,2475
82,47,2481
83,49,2465
