Slice i -> i+1      Cluster ID i,i+1      Cluster size i,i+1                             Intersects                           Intersect ids
1->2                     0,0               33293,33480            0.978524014057009,0.009821884480221067,0.002493016550025531            0,2,26
2->3                     0,0               33480,33611            0.9642174432497013,0.027538829151732377,0.001881720430107527            0,2,23
3->4                     0,0               33611,32808            0.9454047781976139,0.02722323049001815,0.021183541102615215            0,2,8
4->5                     0,0               32808,33779            0.9728724701292367,0.018471104608632043,0.002011704462326262            0,2,26
5->6                     0,0               33779,32734            0.9413244915480032,0.031262026702981144,0.017762515172148375            0,2,10
6->7                     0,0               32734,32685            0.9662430500397141,0.02553919472108511,0.001099773935357732            0,2,26
7->8                     0,2               32685,20798            0.6288205598898577,0.33740247820100966,0.020498699709346795            2,0,8
8->9                     2,0               20798,32563            0.9818732570439466,0.003606115972689682,0.0027887296855466873            0,47,2
9->10                     0,0               32563,33658            0.9691674600006142,0.019654208764548722,0.0028252925099038788            0,2,25
10->11                     0,0               33658,33339            0.967199477093113,0.024659813417315348,0.0018420583516548814            0,2,10
11->12                     0,0               33339,33607            0.9755541557935151,0.018116920123578992,0.0024295869702150633            0,2,26
12->13                     0,0               33607,33046            0.9643824203290982,0.027256226381408635,0.003927753146665873            0,2,9
13->14                     0,0               33046,33071            0.9612055922048054,0.01228590449676209,0.010016340858197664            0,8,2
14->15                     0,0               33071,33085            0.9819479302107587,0.01185328535574975,0.000634997429772308            0,2,29
15->16                     0,0               33085,32368            0.9648481184826961,0.025842526824845096,0.0021762127852501135            0,2,27
16->17                     0,0               32368,32748            0.9743573900148295,0.006889520514087988,0.0026260504201680674            0,2,26
17->18                     0,0               32748,32860            0.9814339807011115,0.010565530719433247,0.0019543178209356295            0,2,25
18->19                     0,0               32860,32532            0.9703895313451004,0.02325015216068168,0.001399878271454656            0,2,20
19->20                     0,0               32532,32844            0.9806037132669372,0.013340710684864135,0.002520595106356818            0,2,26
20->21                     0,0               32844,32553            0.9733893557422969,0.010808671294604798,0.010260625989526245            0,8,2
21->22                     0,0               32553,32546            0.9829815992381654,0.011028169446748379,0.002580407335729426            0,2,25
22->23                     0,0               32546,32787            0.9760339212191974,0.014164567074294844,0.0022737049099735757            0,2,76
23->24                     0,0               32787,32532            0.9772470796352213,0.012535456125903559,0.0028059901790343732            0,2,50
24->25                     0,0               32532,31701            0.9495880978728637,0.03301364810033198,0.006701094307143735            0,2,8
25->26                     0,0               31701,32236            0.9642913472761112,0.02523579697801331,0.002460490205356298            0,2,49
26->27                     0,0               32236,31593            0.9432311701203623,0.015634694130785456,0.010764362824171734            0,1,9
27->28                     0,0               31593,31245            0.9628715221726332,0.016680910328237267,0.0009179248567720697            0,2,29
28->29                     0,0               31245,31109            0.9719315090414467,0.012642022723635783,0.0029124659945591294            0,2,69
29->30                     0,0               31109,29952            0.9502716255745925,0.04040631328554438,0.0018001221511459707            0,1,8
30->31                     0,0               29952,31079            0.9892160790598291,0.0025707799145299145,0.001001602564102564            0,2,28
31->32                     0,0               31079,30831            0.9657324881752952,0.025354741143537435,0.0025419093278419513            0,1,57
32->33                     0,0               30831,30965            0.9709383412798807,0.015341701534170154,0.007557328662709611            0,2,9
33->34                     0,0               30965,30189            0.9454868399806233,0.042693363474891007,0.005522363959308897            0,1,27
34->35                     0,1               30189,23752            0.7701480671767863,0.19493855377786612,0.012951737387790254            1,0,9
35->36                     1,0               23752,30959            0.9770966655439542,0.007367800606264735,0.003999663186257999            0,2,30
36->37                     0,0               30959,30004            0.9551019089763881,0.03524015633579896,0.0025194612229077168            0,1,27
37->38                     0,0               30004,30695            0.9712038394880682,0.017131049193440873,0.0025329956005865884            0,2,79
38->39                     0,0               30695,29611            0.9405440625509041,0.03603192702394527,0.011174458380843785            0,1,9
39->40                     0,0               29611,30748            0.9827766708317854,0.009050690621728412,0.0011819931782108            0,2,29
40->41                     0,0               30748,30773            0.9838363470794849,0.006797190061142188,0.005886561727592039            0,2,10
41->42                     0,0               30773,30174            0.9560653819907061,0.039385175316023785,0.0007149124232281545            0,1,27
42->43                     0,0               30174,30475            0.9651355471598064,0.01879101212964804,0.0028832769934380594            0,2,9
43->44                     0,0               30475,30493            0.9768334700574242,0.01122231337161608,0.0008531583264971288            0,2,26
44->45                     0,0               30493,29916            0.9498901387203621,0.03794313448988292,0.0022300200045912177            0,1,30
45->46                     0,0               29916,28301            0.9369568124080759,0.03580024067388688,0.011097740339617596            0,1,26
46->47                     0,0               28301,30649            0.9804953888555175,0.008974947881700293,0.0018020564644358856            0,2,11
47->48                     0,0               30649,30532            0.9799014649743875,0.013573036640673431,0.0024470618943521812            0,2,54
48->49                     0,0               30532,30370            0.9844753045984541,0.005076640901349404,0.00438883794052142            0,2,28
49->50                     0,0               30370,29401            0.9519920974646032,0.04053342113928218,0.0011853803095159697            0,2,35
50->51                     0,0               29401,29803            0.9879595932111153,0.007584776028026257,0.0009523485595728037            0,1,26
51->52                     0,0               29803,29622            0.9819481260275811,0.01268328691742442,0.0007046270509680233            0,2,12
52->53                     0,0               29622,28682            0.9581392208493688,0.0342313145635001,0.002734454121936399            0,1,27
53->54                     0,0               28682,29155            0.9849034237500872,0.003381912000557841,0.0026148804128024545            0,1,74
54->55                     0,0               29155,30185            0.9816498027782542,0.011353112673640885,0.0008917852855427885            0,2,37
55->56                     0,0               30185,29907            0.9689912208050356,0.01938048699685274,0.0007619678648335266            0,2,5
56->57                     0,0               29907,27513            0.8768181362222891,0.01508008158625071,0.004279934463503527            0,2,21
