Slice num         Num partitions
    1                   64
    2                   79
    3                   71
    4                   82
    5                   82
    6                   86
    7                   82
    8                   82
    9                   90
    10                  91
    11                  100
    12                  116
    13                  121
    14                  117
    15                  119
    16                  115
    17                  126
    18                  119
    19                  117
    20                  130
    21                  135
    22                  122
    23                  131
    24                  161
    25                  167
    26                  187
    27                  196
    28                  215
    29                  202
    30                  209
    31                  238
    32                  242
    33                  242
    34                  247
    35                  242
    36                  239
    37                  243
    38                  240
    39                  271
    40                  268
    41                  283
    42                  299
    43                  287
    44                  279
    45                  498
    46                  442
    47                  403
    48                  407
    49                  420
    50                  395
    51                  398
    52                  442
    53                  420
    54                  447
    55                  496
    56                  498
    57                  537
    58                  514
    59                  571
    60                  644
    61                  725
    62                  880
    63                  1200
    64                  1706
    65                  1844
    66                  1893
    67                  1839
    68                  1674
    69                  1509
    70                  1381
    71                  1271
    72                  1037
    73                  1067
    74                  1059
    75                  973
    76                  895
    77                  845
    78                  836
    79                  809
    80                  761
    81                  842
    82                  754
    83                  728
    84                  701
    85                  596
    86                  553
    87                  545
    88                  517
    89                  474
    90                  469
    91                  401
    92                  398
    93                  379
    94                  370
    95                  367
    96                  355
    97                  356
    98                  276
    99                  36
    100                 8956
