Slice num         Num partitions
    1                   64
    2                   79
    3                   71
    4                   82
    5                   82
    6                   86
    7                   82
    8                   82
    9                   89
    10                  91
    11                  100
    12                  116
    13                  121
    14                  117
    15                  119
    16                  115
    17                  126
    18                  119
    19                  116
    20                  129
    21                  135
    22                  122
    23                  131
    24                  160
    25                  167
    26                  187
    27                  196
    28                  214
    29                  202
    30                  208
    31                  240
    32                  242
    33                  242
    34                  248
    35                  242
    36                  239
    37                  240
    38                  239
    39                  272
    40                  269
    41                  281
    42                  300
    43                  286
    44                  275
    45                  496
    46                  440
    47                  406
    48                  405
    49                  419
    50                  396
    51                  396
    52                  440
    53                  419
    54                  448
    55                  494
    56                  494
    57                  536
    58                  515
    59                  571
    60                  641
    61                  728
    62                  876
    63                  1202
    64                  1703
    65                  1842
    66                  1893
    67                  1841
    68                  1672
    69                  1510
    70                  1381
    71                  1273
    72                  1037
    73                  1067
    74                  1056
    75                  973
    76                  895
    77                  846
    78                  840
    79                  812
    80                  761
    81                  842
    82                  754
    83                  728
    84                  700
    85                  596
    86                  553
    87                  546
    88                  516
    89                  474
    90                  469
    91                  401
    92                  398
    93                  379
    94                  370
    95                  368
    96                  355
    97                  356
    98                  276
    99                  36
    100                 8904
