id,degree,coreness,pageRank,betweeness,clustering
20247015,69,3,0.0038116580232596497,996241.0051643106,4.2625745950554135E-4
14536077,2,1,1.3044743113463687E-4,10380.0,0.0
1129412194779766784,21,1,0.0013409535502802948,119134.0,0.0
797394060331847680,2,1,1.1651567132941113E-4,124032.0,0.0
5988062,85,1,0.005453746043622899,432558.0,0.0
397954928,1,1,7.56475514955584E-5,0.0,0.0
1221102537773895681,135,2,0.008115143906964674,687531.519235952,0.0
834231437457027075,1,1,7.21163359684394E-5,0.0,0.0
317377922,65,3,0.003152497852631409,829915.6287572797,0.008413461538461538
244085908,1,1,6.213299518482038E-5,0.0,0.0
65336280,8,1,5.002119844827979E-4,25945.0,0.30952380952380953
192156775,1,1,7.407233817019667E-5,0.0,0.0
331550028,34,3,0.0015478938781089643,332185.8928629478,0.022281639928698752
726529551283707904,1,1,5.960086316612088E-5,0.0,0.0
1115874631,13,2,8.088976703085418E-4,63222.770657976056,0.0
14081445,1,1,7.390474797045409E-5,0.0,0.0
122687626,4,1,2.643377312674874E-4,20757.0,0.0
928277645711822852,1,1,7.707685427113863E-5,0.0,0.0
1225779630,489,3,0.029859086194284325,3028944.484596373,4.190552817727714E-6
1656591240,1,1,7.294409574500879E-5,0.0,0.0
1152026371,3,1,2.662001042627904E-4,3.0,0.0
35854337,1,1,9.64445526366543E-5,0.0,0.0
18708396,271,3,0.015245459637842523,3038299.353479863,2.3233565668990023E-4
915336849756848128,1,1,6.87785343805837E-5,0.0,0.0
1181693492441030658,3,1,2.662001042627904E-4,3.0,0.0
1071810447412588546,1,1,9.64445526366543E-5,0.0,0.0
722950850,31,1,0.0020486333963372224,465.0,0.0
138547566,1,1,7.727860325950993E-5,0.0,0.0
4374719908,178,2,0.010650145375410132,1103387.3009272662,0.011556240369799691
111523751,1,1,7.183401746463147E-5,0.0,0.0
992831582749757443,2,2,1.1700431605046442E-4,15528.400809024255,0.0
1129087959339327488,8,2,4.671023671280034E-4,61592.27880261519,0.0
15862891,23,1,0.001539366741458812,253.0,0.0
26733047,1,1,7.799286224250902E-5,0.0,0.0
1167533406164520960,1,1,7.727860325950993E-5,0.0,0.0
1179778978372030464,5,2,2.869527061518339E-4,24949.52024703217,0.6666666666666666
3226221743,1,1,7.294409574500879E-5,0.0,0.0
49616273,79,2,0.004702636429450705,619436.7411203646,0.0
92721492,2,1,1.309831385313246E-4,25935.0,0.0
945775983122092032,35,3,0.0018931241013797906,174679.9755945061,8.403361344537816E-4
885957619919200256,5,3,2.3788027624126523E-4,72354.05642254528,0.05
8835382,46,2,0.0026153381470235965,283817.07855335483,0.0
23087456,1,1,6.931953309737815E-5,0.0,0.0
3817328187,102,3,0.005288113557320374,1307652.708872157,0.00145602795573675
1031466633154326528,1,1,6.500522353449353E-5,0.0,0.0
888281389304471553,5,1,3.9351676798239253E-4,10.0,0.0
24981827,1,1,8.79567750553475E-5,0.0,0.0
134804229,27,3,0.0014195991644848625,112029.11427469939,0.0
564725304,4,3,1.9169353075334735E-4,24353.595436119776,0.16666666666666666
852787295316918276,108,1,0.006859924031899067,620789.0,0.0
1189950713067118592,1,1,7.508533851101184E-5,0.0,0.0
569238628,16,1,0.0010937584184402042,120.0,0.0
735645005079928832,1,1,7.920375442462483E-5,0.0,0.0
212693825,10,1,6.8583862752753E-4,81.0,0.0
865491913176096768,1,1,7.935749122249087E-5,0.0,0.0
1019396264,1,1,7.56475514955584E-5,0.0,0.0
17464301,1,1,1.3888344054318835E-4,0.0,0.0
1143588853665751040,1,1,1.3888344054318835E-4,0.0,0.0
947193712324567041,7,1,5.208334317019946E-4,21.0,0.0
1196384009087000576,1,1,8.431915609193028E-5,0.0,0.0
3229908828,1,1,6.87785343805837E-5,0.0,0.0
477864155,150,3,0.007993231972219152,2290086.2143102083,0.0013422818791946308
2707396332,1,1,6.622700784005544E-5,0.0,0.0
1156038610136600582,166,2,0.010129899099278765,976153.5505617234,0.012416851441241685
977679271656267776,1,1,7.286569761553737E-5,0.0,0.0
813345856275574784,11,1,7.295421359538431E-4,51865.0,0.0
1017202254816923649,1,1,7.740415056125268E-5,0.0,0.0
48637571,3,1,2.4815153640252115E-4,5.0,0.0
34044953,2,1,1.7052716945063323E-4,3.0,0.0
117701249,3,1,2.662001042627904E-4,3.0,0.0
870266042412564481,1,1,9.64445526366543E-5,0.0,0.0
1137797617,33,2,0.001730003951546342,184171.35071090757,9.46969696969697E-4
1194002291465936896,2,2,1.1487219438557707E-4,6083.501935078729,0.0
1074186848069713920,10,1,6.394940403086621E-4,49.0,0.2361111111111111
792270532565671936,2,1,2.025417724029894E-4,1.0,0.0
192194084,1,1,1.070542746132878E-4,0.0,0.0
1198202594641895424,2,2,1.2379475545425329E-4,166232.88208555928,1.0
597808299,5,1,3.9351676798239253E-4,10.0,0.0
1000714428990533632,1,1,8.79567750553475E-5,0.0,0.0
291831562,16,2,9.165559308833677E-4,57040.0,0.17142857142857143
746117593539321858,1,1,6.960100162681226E-5,0.0,0.0
1217173996908793858,14,2,6.950525805098801E-4,104585.5126414866,0.24358974358974358
1030590531728945152,1,1,6.310638821916397E-5,0.0,0.0
1146021318082609152,124,2,0.007803639574047645,622983.7849548418,0.01632680261228842
123594433,1,1,7.452081822261477E-5,0.0,0.0
1210659795088355330,1,1,7.294409574500879E-5,0.0,0.0
2822407526,67,3,0.0035682113543382484,663068.4490841152,0.0351981351981352
2283962508,1,1,6.61816725277433E-5,0.0,0.0
896356018443235328,1,1,6.87785343805837E-5,0.0,0.0
